rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.reg_alpha,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
0.39048,0.6572689284134657,0.6353607968812875,0.07,300,0.09,0.84,0.5093777179718018,ok,0.5182648217746992,0.5297443237339664,100000
0.3906,0.657558626947794,0.6468541583049816,0.05,200,0.1,0.76,0.3773071765899658,ok,0.5181147029610873,0.5236906360091576,100000
0.39192,0.6580546202614557,0.6331806385818416,0.06,400,0.06,0.72,0.6632804870605469,ok,0.5178577852527085,0.5309005100946296,100000
0.39224,0.6585352602951926,0.6279657028381065,0.15,200,0.0,0.8,0.3213469982147217,ok,0.5176089418761688,0.5336763537734178,100000
0.39072,0.6586542404082847,0.6263543194146431,0.08,400,0.0,0.74,0.6305191516876221,ok,0.5175473603692868,0.5345370042360998,100000
0.39336,0.659199079945081,0.6525099737922638,0.06,100,0.0,0.72,0.20576024055480957,ok,0.5172654569082422,0.5207370986039748,100000
0.393,0.6593207251804676,0.6256707077232304,0.11,300,0.03,0.8200000000000001,0.47965431213378906,ok,0.5172025378569582,0.5349025449113926,100000
0.39508,0.6597943871360211,0.6216032814769443,0.13,300,0.0,0.9,0.4667656421661377,ok,0.5169576167009556,0.5370826522690809,100000
0.3928,0.6606508409955322,0.6189604749795429,0.14,300,0.0,0.86,0.5185201168060303,ok,0.5165150558984342,0.5385039350525898,100000
0.39656,0.664872761640044,0.6048599521744646,0.14,500,0.07,0.74,0.7510051727294922,ok,0.5143389671899841,0.5461509085311771,100000
