rmse,loss,tr_loss,params.bootstrap,params.max_depth,params.max_features,params.min_samples_leaf,params.min_samples_split,params.n_estimators,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.32628,1.3389993487364822,0.8205379130080189,True,30,sqrt,1,10,500,49.456478118896484,ok,0.2621078159165951,0.44019480429801217,99999
1.32104,1.3393782506119156,0.8830283478912445,True,80,sqrt,4,5,300,29.393633604049683,ok,0.2620085215861705,0.4135287047716078,99999
1.3284,1.3399481072400605,0.8385353613999259,True,80,sqrt,2,10,400,40.79137563705444,ok,0.2618592568273096,0.4323432865973174,99999
1.33764,1.354098228821274,0.7889575160850217,False,20,sqrt,2,5,400,50.0283477306366,ok,0.2581800087993683,0.4543181678801231,99999
1.33496,1.3541818786486775,0.7898119496914121,False,20,sqrt,2,5,300,37.66317963600159,ok,0.2581584129894487,0.45393014896130096,99999
1.29488,1.38206923968183,1.3381550613484292,False,10,sqrt,4,5,200,15.057273387908936,ok,0.25105851496195813,0.26232920368418283,99999
1.38024,1.3825413412445888,0.6422770730760659,False,90,sqrt,2,10,300,42.3683021068573,ok,0.25094001781824493,0.5260931066459351,99999
1.39944,1.3851353392299075,0.5827628123516078,True,40,sqrt,1,5,400,44.4551043510437,ok,0.2502899234538552,0.558353607365122,99999
1.47072,1.4919151756557267,0.38835930843291006,False,60,sqrt,2,2,200,30.314942121505737,ok,0.22494144037428088,0.6781686277753162,99999
1.58444,2.522903020063195,8.881784197001254e-16,False,110,sqrt,1,2,300,51.4028902053833,ok,0.08022636960671528,0.9999999999999991,99999
