rmse,loss,tr_loss,params.bootstrap,params.max_depth,params.max_features,params.min_samples_leaf,params.min_samples_split,params.n_estimators,train_time,status,geo_mean,geo_mean_tr,dataset_size
0.36996,0.6446096539040749,0.4514275510175886,True,60,sqrt,4,10,200,21.946632146835327,ok,0.524867382058219,0.6367185543078405,100000
0.3728,0.6461415222670215,0.4409292344225517,True,90,sqrt,4,5,500,55.55321907997131,ok,0.5240639698388907,0.6434382382403812,100000
0.37624,0.6471251945429112,0.5232724838455034,True,20,sqrt,1,5,200,18.21475315093994,ok,0.5235487161029222,0.5925781690164514,100000
0.384,0.6596596319904725,0.5421687808144142,False,20,sqrt,4,2,400,52.633103370666504,ok,0.5170272840937511,0.5814857686646837,100000
0.38384,0.659664370632007,0.5418700330692772,False,20,sqrt,4,2,300,39.39137363433838,ok,0.517024834092593,0.5816595121783509,100000
0.3774,0.661812037232627,0.34523118591936064,True,60,sqrt,2,5,500,59.07355737686157,ok,0.5159156286528076,0.7080566418189168,100000
0.40308,0.6680915857090091,0.6524017996629687,False,10,sqrt,1,10,200,15.73843264579773,ok,0.512686062175131,0.5207934319330574,100000
0.38088,0.6727573943286459,0.41443871024846524,False,30,sqrt,4,2,100,15.813042402267456,ok,0.5102995389868017,0.6607110269753756,100000
0.38316,0.6883993646485295,0.35209862808669407,False,90,sqrt,4,5,500,84.07342958450317,ok,0.5023795523239618,0.7032107622239665,100000
0.3924,0.7183618496418746,0.17915851615133088,True,90,sqrt,1,2,300,37.78956842422485,ok,0.487550282807913,0.8359733736117743,100000
